date,team,size
10/06/2022,Data & Insight,117
10/06/2022,Digital,213
17/06/2022,Data & Insight,117
17/06/2022,Digital,213
24/06/2022,Data & Insight,117
24/06/2022,Digital,213
01/07/2022,Data & Insight,117
01/07/2022,Digital,213
08/07/2022,Data & Insight,117
08/07/2022,Digital,213
15/07/2022,Data & Insight,117
15/07/2022,Digital,213
22/07/2022,Data & Insight,117
22/07/2022,Digital,213
29/07/2022,Data & Insight,118
29/07/2022,Digital,0
05/08/2022,Data & Insight,106
05/08/2022,Digital,0
12/08/2022,Data & Insight,106
12/08/2022,Digital,0
19/08/2022,Data & Insight,105
19/08/2022,Digital,0
26/08/2022,Data & Insight,0
26/08/2022,Digital,0
02/09/2022,Data & Insight,106
02/09/2022,Digital,0
